music_id,views,good,bad,comment_count
0,12555,437,170,593
1,6529,267,507,539
2,10820,702,483,527
3,12753,502,720,313
4,10846,781,312,400
5,13914,628,533,697
6,5996,797,683,424
7,12229,283,299,380
8,7942,578,547,835
9,5506,786,318,827
10,12762,416,359,530
11,9291,777,549,1071
12,9671,429,565,286
13,10421,548,503,519
14,7002,820,703,812
15,7589,539,478,664
16,10248,254,530,291
17,11717,443,511,533
18,7250,263,419,349
19,9752,699,352,356
20,7249,397,559,559
21,11970,379,438,162
22,11846,713,696,734
23,5260,306,481,374
24,18166,320,406,601
25,10145,906,373,245
26,14323,158,496,329
27,8639,823,473,549
28,16272,646,969,453
29,10637,671,202,281
30,7683,417,414,613
31,7861,510,320,604
32,10077,497,727,121
33,117189,902,869,716
34,107827,1109,1434,946
35,28995,841,2143,1049
36,107307,900,1063,701
37,-78763,868,2062,514
38,54603,924,1034,970
39,69402,899,1756,793
40,72136,628,1873,1285
41,47048,1023,757,1300
42,46518,907,934,1126
43,57186,781,1123,756
44,149179,1248,994,678
45,35798,924,1789,993
46,102027,980,1311,1179
47,20454,928,1945,1188
48,44634,964,1923,1470
49,65698,993,1254,672
50,15694,1040,1338,896
51,30030,1175,1881,1493
52,39713,1243,2416,509
53,90227,1184,825,985
54,67091,1030,1017,567
55,87286,1206,1236,1061
56,47426,1078,739,1647
57,122054,1022,835,1080
58,31397,1113,2129,1164
59,50099,779,1417,1010
60,73931,1011,2637,1137
61,64642,814,1166,415
62,43896,1006,891,1510
63,43006,809,1692,1109
64,-1961,844,1419,823
65,-37671,1187,1508,841
66,15742,2376,287,729
67,7326,2770,247,903
68,5884,1347,257,1635
69,19242,2389,319,1248
70,11921,1811,163,578
71,6375,3529,369,1330
72,11510,2200,302,482
73,11083,577,235,470
74,10773,3359,233,803
75,18227,966,154,952
76,16713,4257,272,442
77,12540,-480,191,444
78,17932,1110,239,434
79,11618,3026,113,553
80,12397,1808,296,1167
81,496,3364,193,735
82,12664,2735,315,1605
83,11914,1776,282,316
84,12415,2198,365,843
85,7148,1329,265,1487
86,11257,2500,156,1558
87,5264,2468,336,447
88,7193,1616,149,536
89,11176,2128,242,1379
90,19941,860,280,830
91,13852,2685,160,447
92,12888,978,395,1663
93,9124,2720,356,143
94,14906,318,436,664
95,3005,779,363,752
96,8064,958,327,782
97,7382,1526,253,794
98,5504,456,246,787
99,11640,2238,328,1087
