user_id,genre_id,age,gender
0,5,59,2
1,6,38,2
2,2,69,1
3,9,19,1
4,2,18,1
5,6,54,2
6,2,55,1
7,1,57,1
8,5,29,2
9,5,66,1
10,1,17,0
11,2,76,0
12,1,51,0
13,6,79,2
14,7,40,2
15,3,42,0
16,2,43,1
17,10,77,1
18,10,38,2
19,2,29,2
20,3,47,0
21,5,76,2
22,5,31,0
23,7,67,0
24,10,70,1
25,5,40,1
26,9,48,2
27,5,15,0
28,0,70,2
29,1,51,0
30,6,24,0
31,7,75,2
32,10,36,2
33,5,42,0
34,4,60,2
35,6,41,1
36,10,65,0
37,3,53,1
38,3,60,1
39,9,23,1
40,2,62,0
41,9,64,1
42,6,39,2
43,0,66,1
44,8,63,2
45,2,49,0
46,10,58,0
47,3,51,2
48,7,39,0
49,9,17,0
50,10,24,0
51,8,76,1
52,2,36,2
53,9,31,0
54,7,55,2
55,4,36,1
56,1,35,1
57,8,21,2
58,1,60,1
59,4,32,0
60,1,68,2
61,6,17,2
62,4,64,1
63,0,55,2
64,10,72,0
65,0,77,2
66,2,63,2
67,5,42,1
68,8,16,2
69,9,62,2
70,8,21,1
71,9,44,0
72,9,18,2
73,9,59,2
74,2,40,0
75,5,63,1
76,8,25,2
77,1,65,1
78,2,61,0
79,8,62,0
80,10,16,1
81,9,30,1
82,2,77,2
83,0,23,1
84,2,69,0
85,8,31,0
86,4,46,2
87,7,53,2
88,4,30,0
89,8,23,2
90,8,38,0
91,3,68,2
92,0,30,2
93,9,76,0
94,0,73,1
95,7,54,0
96,4,77,0
97,9,43,0
98,10,60,2
99,6,33,2
